04Jaa,r3kb1r/1bq2pp1/2n1p2p/P3P3/Q2BNP2/p2P1N2/6PP/R4RK1 w kq - 1 19,d4b6 c7b6 a5b6 a8a4,1398,74,96,4768,advantage middlegame short,https://lichess.org/xh8FDaWX#37,Sicilian_Defense,Sicilian_Defense_McDonnell_Attack
04JdJ,7r/3q1pk1/6n1/p4R2/1p2P3/3P2Q1/1PP3P1/1R4K1 w - - 2 33,f5a5 d7d4 g1f1 h8h1 f1e2 h1b1,1394,75,75,178,advantage endgame long skewer,https://lichess.org/26hzN69V#65,
04JfE,r2qr1k1/5pb1/1p1p1n2/p2P1QBp/7R/P1N4P/1PP3PN/6K1 w - - 1 23,h4h5 f6h5 g5d8 g7d4,2306,74,91,3603,crushing middlegame sacrifice short,https://lichess.org/92uvPtYe#45,
04Jl6,r1bq1rk1/6pp/p2p1bp1/1p2p3/4NP2/2P2Q2/PP4PP/RN2R1K1 b - - 1 20,e5f4 e4f6 g7f6 f3d5 g8g7 d5a8,2600,97,87,268,advantage clearance fork long middlegame,https://lichess.org/a3TlUHXv/black#40,
04JuW,1r2k2r/3b1pRp/3p4/1p1PpP2/4P3/pPqP1N1P/4Q3/1K4R1 w k - 1 25,e2c2 a3a2 c2a2 c3d3 a2c2 d3f3 g7g3 f3f4,1816,86,61,76,advancedPawn advantage deflection exposedKing fork middlegame veryLong,https://lichess.org/C1WyoFY1#49,
04JzE,k2r3r/pp4p1/8/Q3PP2/3p1B1q/8/PP4R1/R5K1 w - - 1 33,a5d2 h4h1 g1f2 h1a1,1096,77,94,898,advantage middlegame short skewer,https://lichess.org/0GIh0n3R#65,
04K5O,4r3/2p5/1k6/3pB3/3P4/6P1/1r4pP/R5K1 b - - 6 32,c7c5 d4c5 b6b5 e5b2,1189,82,78,150,crushing discoveredAttack endgame short,https://lichess.org/2ULntndc/black#64,
04K8u,1r2n1k1/4P1p1/p2N3p/1pp5/8/1P4P1/P1P1R1P1/6K1 w - - 1 33,e2e6 b8b6 e6h6 b6d6,1606,143,79,25,advantage endgame short,https://lichess.org/UGSSlabw#65,
04KSC,8/7k/4p3/p7/P6p/8/1PP1K3/8 b - - 0 45,e6e5 e2f3 h7g6 f3g4 e5e4 g4h4,2657,80,93,513,crushing endgame long master pawnEndgame,https://lichess.org/XDphDRKz/black#90,
04KYy,2r3k1/5p2/p3p1pP/PprpN2n/3R3P/2N1RP2/2P3K1/8 w - - 2 27,g2h3 c5c3 e3c3 c8c3,1253,76,93,3805,advantage middlegame short,https://lichess.org/By3ual48#53,
